canonical_smiles,molregno,synonyms,assay_id,standard_value,standard_type,standard_units
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,923,Sirolimus,1804482,26302.68,IC50,nM
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,485738,Ribavirin,1804482,81470.43,IC50,nM
C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1,10989,,1804482,269153.48,IC50,nM
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,42503,,1804482,225423921.22,IC50,nM
COC(=O)C1(c2ccc(C)cc2)CC1CN1CCC(O)(c2ccccc2)CC1,372037,,1804482,21134.89,IC50,nM
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1153572,Ruxolitinib,1804482,7345.14,IC50,nM
COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1566719,Apabetalone,1804482,1428.89,IC50,nM
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,1926946,Sapanisertib,1804482,135831.34,IC50,nM
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,692515,,1804482,3890.45,IC50,nM
C=CC(C)CC1NC(=O)C(CC(C)C)N(C)C(=O)C(C)N(C)C(=O)C(C(C)CC)NC(=O)C(C(O)C(C)C)NC(=O)C2CCCCN2C(=O)C(C)N(C)C1=O,2341615,,1804482,6.653,IC50,nM
Cc1cc(Nc2cc(N)ncn2)c(=O)n2c1C(=O)NC21CCCCC1,2213354,Tomivosertib,1804482,346.74,IC50,nM
CCCC(CCC)C(=O)O,15217,Valproic acid,1804482,121.06,IC50,nM
COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,2341613,,1804482,177.42,IC50,nM
O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,1033892,,1804483,280.8,AUC,
O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,425006,,1804483,268.7,AUC,
CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,2335425,,1804483,293.2,AUC,
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,275631,,1804483,379.9,AUC,
C[C@@H](C1CCCCC1)n1c(-c2cc3c(cc2Br)OCO3)nc2cc(C(=O)Nc3ccc(C#N)cc3)ccc21,2260454,,1804483,227.2,AUC,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,12428,Azithromycin,1804483,249.1,AUC,
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,598444,,1804483,251.2,AUC,
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,444750,Captopril,1804483,275.7,AUC,
Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,2056749,,1804483,280.1,AUC,
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,469763,Clemastine,1804483,190.4,AUC,
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,418427,,1804483,223.3,AUC,
COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1,2078366,,1804483,206.9,AUC,
COC1CC/C=C/c2cccc(c2)C(CCNC(=O)OC(C)(C)C)OC(=O)C2CCCN(N2)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C1C,2341617,,1804483,239.4,AUC,
Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=NC2CC(N)=O,2257622,,1804483,249.0,AUC,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,336913,,1804483,601.9,AUC,
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1047410,,1804483,188.7,AUC,
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,2341612,,1804483,176.8,AUC,
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,77456,Dextromethorphan,1804483,271.2,AUC,
Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,1429542,,1804483,241.1,AUC,
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3859,Haloperidol,1804483,266.4,AUC,
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,429737,,1804483,140.1,AUC,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,173,Indomethacin,1804483,279.8,AUC,
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,1282795,,1804483,172.1,AUC,
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,230659,Lisinopril,1804483,252.5,AUC,
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,110803,Loratadine,1804483,230.7,AUC,
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,9495,Lovastatin,1804483,245.2,AUC,
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,419032,Luminespib,1804483,171.7,AUC,
CN(C)C(=N)NC(=N)N,369464,Metformin,1804483,292.9,AUC,
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,608601,Midostaurin,1804483,506.4,AUC,
COc1cccc2c(NCc3ccccc3)nc(-n3c(N)nc4ccccc43)nc12,2056370,,1804483,223.0,AUC,
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,2299061,,1804483,160.5,AUC,
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,7289,,1804483,302.4,AUC,
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,338934,Nitazoxanide,1804483,202.3,AUC,
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,34197,Olanzapine,1804483,288.8,AUC,
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,686684,Onalespib,1804483,177.1,AUC,
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,489525,,1804483,279.5,AUC,
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,80081,,1804483,133.9,AUC,
CCCN1CCC=C(c2cc(-c3ccc(C)cc3)no2)C1,2228183,,1804483,241.8,AUC,
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,76984,Pepstatin,1804483,313.0,AUC,
O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,2248659,,1804483,218.9,AUC,
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,364141,Pimozide,1804483,189.8,AUC,
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,19737,,1804483,272.2,AUC,
CC(C)CC1NC(=O)C(Cc2cn(Cc3ccc(Br)cc3)c3ccccc23)N(C)C(=O)C(CC(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)NC(=O)C(CCC#N)OC(=O)C(C)N(C)C1=O,2341616,,1804483,107.3,AUC,
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3666,,1804483,285.6,AUC,
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,923,Sirolimus,1804483,237.6,AUC,
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,485738,Ribavirin,1804483,248.7,AUC,
C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1,10989,,1804483,222.8,AUC,
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,42503,,1804483,254.6,AUC,
COC(=O)C1(c2ccc(C)cc2)CC1CN1CCC(O)(c2ccccc2)CC1,372037,,1804483,337.9,AUC,
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1153572,Ruxolitinib,1804483,315.9,AUC,
COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1566719,Apabetalone,1804483,293.2,AUC,
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,1926946,Sapanisertib,1804483,329.3,AUC,
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,692515,,1804483,216.1,AUC,
C=CC(C)CC1NC(=O)C(CC(C)C)N(C)C(=O)C(C)N(C)C(=O)C(C(C)CC)NC(=O)C(C(O)C(C)C)NC(=O)C2CCCCN2C(=O)C(C)N(C)C1=O,2341615,,1804483,128.8,AUC,
Cc1cc(Nc2cc(N)ncn2)c(=O)n2c1C(=O)NC21CCCCC1,2213354,Tomivosertib,1804483,231.0,AUC,
CCCC(CCC)C(=O)O,15217,Valproic acid,1804483,299.6,AUC,
COc1cc2c(c(OC)n1)[C@]1(O)[C@H](O)[C@H](CN(C)C)[C@@H](c3ccccc3)[C@]1(c1ccc(C#N)cc1)O2,2341613,,1804483,85.46,AUC,
O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,1033892,,1804484,6.93,pCC50,
O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,425006,,1804484,4.32,pCC50,
CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,2335425,,1804484,6.84,pCC50,
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,275631,,1804484,11.15,pCC50,
C[C@@H](C1CCCCC1)n1c(-c2cc3c(cc2Br)OCO3)nc2cc(C(=O)Nc3ccc(C#N)cc3)ccc21,2260454,,1804484,6.99,pCC50,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,12428,Azithromycin,1804484,15.82,pCC50,
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,598444,,1804484,5.44,pCC50,
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,444750,Captopril,1804484,5.91,pCC50,
Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,2056749,,1804484,14.01,pCC50,
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,469763,Clemastine,1804484,5.0,pCC50,
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,418427,,1804484,6.18,pCC50,
COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1,2078366,,1804484,5.25,pCC50,
COC1CC/C=C/c2cccc(c2)C(CCNC(=O)OC(C)(C)C)OC(=O)C2CCCN(N2)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C1C,2341617,,1804484,5.18,pCC50,
Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=NC2CC(N)=O,2257622,,1804484,7.37,pCC50,
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,336913,,1804484,6.987,pCC50,
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1047410,,1804484,5.19,pCC50,
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,2341612,,1804484,5.32,pCC50,
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,77456,Dextromethorphan,1804484,6.06,pCC50,
Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,1429542,,1804484,5.118,pCC50,
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3859,Haloperidol,1804484,2.661,pCC50,
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,429737,,1804484,5.0,pCC50,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,173,Indomethacin,1804484,5.18,pCC50,
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,1282795,,1804484,7.175,pCC50,
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,230659,Lisinopril,1804484,5.08,pCC50,
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,110803,Loratadine,1804484,,pCC50,
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,9495,Lovastatin,1804484,5.4,pCC50,
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,419032,Luminespib,1804484,7.17,pCC50,
CN(C)C(=N)NC(=N)N,369464,Metformin,1804484,4.474,pCC50,
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,608601,Midostaurin,1804484,7.9239999999999995,pCC50,
COc1cccc2c(NCc3ccccc3)nc(-n3c(N)nc4ccccc43)nc12,2056370,,1804484,2.9360000000000004,pCC50,
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,2299061,,1804484,6.523,pCC50,
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,7289,,1804484,2.44,pCC50,
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,338934,Nitazoxanide,1804484,4.7,pCC50,
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,34197,Olanzapine,1804484,5.54,pCC50,
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,686684,Onalespib,1804484,8.78,pCC50,
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,489525,,1804484,4.59,pCC50,
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,80081,,1804484,5.023,pCC50,
CCCN1CCC=C(c2cc(-c3ccc(C)cc3)no2)C1,2228183,,1804484,2.928,pCC50,
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,76984,Pepstatin,1804484,7.71,pCC50,
O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,2248659,,1804484,5.61,pCC50,
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,364141,Pimozide,1804484,6.13,pCC50,
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,19737,,1804484,5.44,pCC50,
CC(C)CC1NC(=O)C(Cc2cn(Cc3ccc(Br)cc3)c3ccccc23)N(C)C(=O)C(CC(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)NC(=O)C(CCC#N)OC(=O)C(C)N(C)C1=O,2341616,,1804484,7.49,pCC50,
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3666,,1804484,10.99,pCC50,
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,923,Sirolimus,1804484,9.32,pCC50,
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,485738,Ribavirin,1804484,4.664,pCC50,
C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1,10989,,1804484,2.24,pCC50,
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,42503,,1804484,10.81,pCC50,
COC(=O)C1(c2ccc(C)cc2)CC1CN1CCC(O)(c2ccccc2)CC1,372037,,1804484,5.398,pCC50,
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1153572,Ruxolitinib,1804484,7.082000000000001,pCC50,
COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1566719,Apabetalone,1804484,6.685,pCC50,
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,1926946,Sapanisertib,1804484,8.907,pCC50,
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,692515,,1804484,5.5,pCC50,
C=CC(C)CC1NC(=O)C(CC(C)C)N(C)C(=O)C(C)N(C)C(=O)C(C(C)CC)NC(=O)C(C(O)C(C)C)NC(=O)C2CCCCN2C(=O)C(C)N(C)C1=O,2341615,,1804484,10.79,pCC50,
